"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"これ","これ","bu (so'zlovchiga yaqin buyumga nisbatan)","olmosh","N5","Top 100","⓪","","","","","これは辞書です。(これはじしょです。)","Bu — lug'at.","この","あれ","こ・そ・あ・ど tizimining birinchi a'zosi: 「これ」 so'zlovchiga yaqin narsani ko'rsatadi. 「これ」 yolg'iz turadi, 「この」 esa doim ot bilan keladi (これは本です／この本は…).","[]","[{""sentence"":""これは何ですか。(これはなんですか。)"",""translation"":""Bu nima?""},{""sentence"":""これはわたしのかばんです。(これはわたしのかばんです。)"",""translation"":""Bu mening sumkam.""}]","[{""word"":""これら"",""hiragana"":""これら"",""meaning"":""bular (ko'plik, rasmiyroq)""}]"
"それ","それ","u, o'sha (tinglovchiga yaqin buyumga nisbatan)","olmosh","N5","Top 100","⓪","","","","","それは私の傘です。(それはわたしのかさです。)","U — mening soyabonim.","その","これ","「それ」 — tinglovchiga yaqin narsa. Suhbatda hozirgina aytilgan gap yoki fikrga ishora qilish uchun ham ishlatiladi: 「それはいいですね」 — ""bu yaxshi-ku"".","[]","[{""sentence"":""それは何ですか。(それはなんですか。)"",""translation"":""U nima?""},{""sentence"":""それをください。(それをください。)"",""translation"":""O'shani bering.""}]","[{""word"":""それから"",""hiragana"":""それから"",""meaning"":""keyin, undan so'ng""},{""word"":""それでは"",""hiragana"":""それでは"",""meaning"":""unday bo'lsa""}]"
"あれ","あれ","ana u, ana o'sha (ikkalasidan ham uzoqdagi buyumga nisbatan)","olmosh","N5","Top 500","⓪","","","","","あれは自動車の雑誌です。(あれはじどうしゃのざっしです。)","Ana u — avtomobil jurnali.","あの","これ","「あれ」 — ikkala suhbatdoshdan ham uzoqdagi narsa. Ikkovi ham biladigan, lekin hozir ko'rinmayotgan narsa haqida ham 「あれ」 ishlatiladi.","[]","[{""sentence"":""あれは何ですか。(あれはなんですか。)"",""translation"":""Ana u nima?""},{""sentence"":""あれはミラーさんのかばんです。(あれはみらーさんのかばんです。)"",""translation"":""Ana u janob Millerning sumkasi.""}]","[]"
"この～","この～","bu ~ (so'zlovchiga yaqin buyumga nisbatan, ot bilan keladi)","olmosh","N5","Top 100","⓪","","","","","この本は私のです。(このほんはわたしのです。)","Bu kitob meniki.","これ","あの～","「この」 yolg'iz ishlatilmaydi — ketidan albatta ot keladi. 「これは本です」 to'g'ri, 「この は本です」 noto'g'ri; 「この本は…」 deyiladi.","[]","[{""sentence"":""この時計はいくらですか。(このとけいはいくらですか。)"",""translation"":""Bu soat qancha turadi?""},{""sentence"":""この人は山田さんです。(このひとはやまださんです。)"",""translation"":""Bu kishi Yamada-san.""}]","[{""word"":""この間"",""hiragana"":""このあいだ"",""meaning"":""yaqinda, o'tgan kuni""}]"
"その～","その～","u~, o'sha~ (tinglovchiga yaqin buyumga nisbatan, ot bilan keladi)","olmosh","N5","Top 100","⓪","","","","","そのノートはだれのですか。(そののーとはだれのですか。)","U daftar kimniki?","それ","この～","Tinglovchiga yaqin narsa uchun. Suhbatda tilga olingan narsani qayta eslatishda ham ishlatiladi: 「その本」 — ""siz aytgan o'sha kitob"".","[]","[{""sentence"":""その辞書を貸してください。(そのじしょをかしてください。)"",""translation"":""O'sha lug'atni berib turing.""},{""sentence"":""その話は知りません。(そのはなしはしりません。)"",""translation"":""U gapdan xabarim yo'q.""}]","[{""word"":""その後"",""hiragana"":""そのあと"",""meaning"":""undan keyin""}]"
"あの～","あの～","ana u~, ana o'sha~ (ikkalasidan ham uzoqdagi buyumga nisbatan, ot bilan keladi)","olmosh","N5","Top 500","⓪","","","","","あの傘はミラーさんのです。(あのかさはみらーさんのです。)","Ana u soyabon janob Millerniki.","あれ","この～","1-darsdagi 「あの人」「あの方」 ham shu qolipda yasalgan. Ikkala suhbatdosh ham biladigan narsa/odam haqida xotira bilan gapirganda ham ishlatiladi.","[]","[{""sentence"":""あの建物は病院です。(あのたてものはびょういんです。)"",""translation"":""Ana u bino — shifoxona.""},{""sentence"":""あの店は安いです。(あのみせはやすいです。)"",""translation"":""Ana u do'kon arzon.""}]","[{""word"":""あの人"",""hiragana"":""あのひと"",""meaning"":""u kishi""}]"
"本","ほん","kitob","ot","N5","Top 500","①","","","","","これは日本語の本です。(これはにほんごのほんです。)","Bu — yapon tili kitobi.","書籍","","「本」 kanjisining asosiy ma'nosi ""asos, ildiz""; shundan 「日本」 (quyosh chiqadigan asos) ham kelib chiqqan. Uzun buyumlarni sanashda 「～本（ほん・ぼん・ぽん）」 sanoq qo'shimchasi sifatida ham keladi.","[{""kanji"":""本"",""meaning"":""asos, kitob"",""kunReading"":""moto"",""onReading"":""hon"",""strokes"":5}]","[{""sentence"":""本を読みます。(ほんをよみます。)"",""translation"":""Kitob o'qiyman.""},{""sentence"":""その本は面白いですか。(そのほんはおもしろいですか。)"",""translation"":""U kitob qiziqarlimi?""}]","[{""word"":""本屋"",""hiragana"":""ほんや"",""meaning"":""kitob do'koni""},{""word"":""本棚"",""hiragana"":""ほんだな"",""meaning"":""kitob javoni""}]"
"辞書","じしょ","lug'at","ot","N5","Top 2000","①","","","","","これは日本語の辞書です。(これはにほんごのじしょです。)","Bu — yapon tili lug'ati.","辞典","","「辞書」 va 「辞典（じてん）」 deyarli sinonim; 「辞典」 rasmiyroq va nom tarkibida ko'p uchraydi (国語辞典). 「事典（じてん）」 esa ensiklopediya — talaffuzi bir xil, ma'nosi boshqa.","[{""kanji"":""辞"",""meaning"":""so'z, ibora"",""kunReading"":""ya"",""onReading"":""ji"",""strokes"":13},{""kanji"":""書"",""meaning"":""yozmoq, kitob"",""kunReading"":""ka"",""onReading"":""sho"",""strokes"":10}]","[{""sentence"":""辞書で調べます。(じしょでしらべます。)"",""translation"":""Lug'atdan qidiraman.""},{""sentence"":""その辞書は高いです。(そのじしょはたかいです。)"",""translation"":""U lug'at qimmat.""}]","[{""word"":""電子辞書"",""hiragana"":""でんしじしょ"",""meaning"":""elektron lug'at""},{""word"":""和英辞書"",""hiragana"":""わえいじしょ"",""meaning"":""yaponcha-inglizcha lug'at""}]"
"雑誌","ざっし","jurnal, oynoma","ot","N5","Top 2000","⓪","","","","","あれは自動車の雑誌です。(あれはじどうしゃのざっしです。)","Ana u — avtomobil jurnali.","マガジン","","「雑（aralash）」＋「誌（nashr）」 — turli mavzudagi maqolalar to'plami degani. Gazeta esa 「新聞」.","[{""kanji"":""雑"",""meaning"":""aralash, xilma-xil"",""kunReading"":""-"",""onReading"":""zatsu, zou"",""strokes"":14},{""kanji"":""誌"",""meaning"":""nashr, jurnal"",""kunReading"":""-"",""onReading"":""shi"",""strokes"":14}]","[{""sentence"":""毎月この雑誌を買います。(まいつきこのざっしをかいます。)"",""translation"":""Har oy shu jurnalni sotib olaman.""},{""sentence"":""雑誌を読んでいます。(ざっしをよんでいます。)"",""translation"":""Jurnal o'qiyapman.""}]","[{""word"":""週刊誌"",""hiragana"":""しゅうかんし"",""meaning"":""haftalik jurnal""}]"
"新聞","しんぶん","gazeta, ro'znoma","ot","N5","Top 1000","⓪","","","","","これは日本の新聞です。(これはにほんのしんぶんです。)","Bu — Yaponiya gazetasi.","","","「新（yangi）」＋「聞（eshitmoq）」 — ""yangi eshitilgan xabar"". Diqqat: 「新聞」 gazeta, ammo 「ニュース」 — teleko'rsatuvdagi yangiliklar.","[{""kanji"":""新"",""meaning"":""yangi"",""kunReading"":""atara, ara"",""onReading"":""shin"",""strokes"":13},{""kanji"":""聞"",""meaning"":""eshitmoq, so'ramoq"",""kunReading"":""ki"",""onReading"":""bun, mon"",""strokes"":14}]","[{""sentence"":""毎朝新聞を読みます。(まいあさしんぶんをよみます。)"",""translation"":""Har kuni ertalab gazeta o'qiyman.""},{""sentence"":""その新聞を取ってください。(そのしんぶんをとってください。)"",""translation"":""O'sha gazetani uzatib yuboring.""}]","[{""word"":""新聞社"",""hiragana"":""しんぶんしゃ"",""meaning"":""gazeta tahririyati""},{""word"":""新聞紙"",""hiragana"":""しんぶんし"",""meaning"":""gazeta qog'ozi""}]"
