"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"食べます","たべます","yemoq","fe'l","N5","Top 500","②","食べて","食べた","食べない","食べます","毎朝パンを食べます。(まいあさぱんをたべます。)","Har kuni ertalab non yeyman.","召し上がる, いただく","","Bu darsda 「を」 yuklamasi kiritiladi: yeyilayotgan narsa 「を」 bilan belgilanadi. Hurmatli shakli 「召し上がる（めしあがる）」 — mehmonga; kamtarona shakli 「いただく」 — o'zi haqida.","[{""kanji"":""食"",""meaning"":""yemoq, ovqat"",""kunReading"":""ta, ku"",""onReading"":""shoku"",""strokes"":9}]","[{""sentence"":""昼ごはんを食べましたか。(ひるごはんをたべましたか。)"",""translation"":""Tushlik qildingizmi?""},{""sentence"":""肉は食べません。(にくはたべません。)"",""translation"":""Go'sht yemayman.""}]","[{""word"":""食べ物"",""hiragana"":""たべもの"",""meaning"":""yegulik, taom""},{""word"":""食堂"",""hiragana"":""しょくどう"",""meaning"":""oshxona""}]"
"飲みます","のみます","ichmoq","fe'l","N5","Top 500","②","飲んで","飲んだ","飲まない","飲みます","毎朝コーヒーを飲みます。(まいあさこーひーをのみます。)","Har kuni ertalab qahva ichaman.","いただく","","Diqqat: sup ham yaponchada ""ichiladi"" — 「スープを飲みます」. Dori ham 「薬を飲みます」. 「お酒を飲む」 esa ko'pincha ""ichkilik ichmoq"" ma'nosini beradi.","[{""kanji"":""飲"",""meaning"":""ichmoq"",""kunReading"":""no"",""onReading"":""in"",""strokes"":12}]","[{""sentence"":""お酒を飲みますか。(おさけをのみますか。)"",""translation"":""Ichimlik ichasizmi?""},{""sentence"":""水を飲みたいです。(みずをのみたいです。)"",""translation"":""Suv ichgim kelyapti.""}]","[{""word"":""飲み物"",""hiragana"":""のみもの"",""meaning"":""ichimlik""},{""word"":""飲み会"",""hiragana"":""のみかい"",""meaning"":""ichkilikli yig'in""}]"
"吸います","すいます","chekmoq; so'rmoq [たばこを～]","fe'l","N5","Top 2000","⓪","吸って","吸った","吸わない","吸います","たばこを吸いますか。(たばこをすいますか。)","Chekasizmi?","喫煙する","","So'zma-so'z ""so'rmoq"" degani; 「たばこを」 bilan birga ""chekmoq"" ma'nosini beradi. Havo olish ham shu fe'l bilan: 「息を吸う」 — nafas olmoq.","[{""kanji"":""吸"",""meaning"":""so'rmoq, nafas olmoq"",""kunReading"":""su"",""onReading"":""kyuu"",""strokes"":6}]","[{""sentence"":""ここでたばこを吸わないでください。(ここでたばこをすわないでください。)"",""translation"":""Bu yerda chekmang.""},{""sentence"":""父はたばこを吸いません。(ちちはたばこをすいません。)"",""translation"":""Otam chekmaydi.""}]","[{""word"":""吸い殻"",""hiragana"":""すいがら"",""meaning"":""sigaret qoldig'i""},{""word"":""禁煙"",""hiragana"":""きんえん"",""meaning"":""chekish taqiqlangan""}]"
"見ます","みます","ko'rmoq, tomosha qilmoq","fe'l","N5","Top 100","②","見て","見た","見ない","見ます","毎晩テレビを見ます。(まいばんてれびをみます。)","Har kecha televizor ko'raman.","ご覧になる, 眺める","","「見る」 — atayin qarash. Ko'zga tushish (beixtiyor) esa 「見える（みえる）」. 3-darsdagi 「見せる（ko'rsatmoq）」 ham shu ildizdan.","[{""kanji"":""見"",""meaning"":""ko'rmoq"",""kunReading"":""mi"",""onReading"":""ken"",""strokes"":7}]","[{""sentence"":""映画を見ませんか。(えいがをみませんか。)"",""translation"":""Kino ko'rmaymizmi?""},{""sentence"":""写真を見せてください。(しゃしんをみせてください。)"",""translation"":""Rasmni ko'rsating.""}]","[{""word"":""花見"",""hiragana"":""はなみ"",""meaning"":""sakura tomoshasi""},{""word"":""見物"",""hiragana"":""けんぶつ"",""meaning"":""sayr qilib tomosha qilish""}]"
"聞きます","ききます","eshitmoq, tinglamoq; so'ramoq","fe'l","N5","Top 500","⓪","聞いて","聞いた","聞かない","聞きます","毎朝ラジオを聞きます。(まいあさらじおをききます。)","Har tong radio tinglayman.","尋ねる, 伺う","","Ikki ma'noli: ""tinglamoq"" (「を」 bilan: 音楽を聞く) va ""so'ramoq"" (「に」 bilan: 先生に聞く). Yuklama ma'noni ajratadi.","[{""kanji"":""聞"",""meaning"":""eshitmoq, so'ramoq"",""kunReading"":""ki"",""onReading"":""bun, mon"",""strokes"":14}]","[{""sentence"":""CDを聞きます。(しーでぃーをききます。)"",""translation"":""Disk tinglayman.""},{""sentence"":""先生に聞きました。(せんせいにききました。)"",""translation"":""Ustozdan so'radim.""}]","[{""word"":""新聞"",""hiragana"":""しんぶん"",""meaning"":""gazeta""},{""word"":""聞こえる"",""hiragana"":""きこえる"",""meaning"":""eshitilmoq""}]"
"読みます","よみます","o'qimoq","fe'l","N5","Top 500","②","読んで","読んだ","読まない","読みます","毎朝新聞を読みます。(まいあさしんぶんをよみます。)","Har tong gazeta o'qiyman.","","書きます","「読む」 — matnni o'qish. 4-darsdagi 「勉強する（o'qimoq, ta'lim olmoq）」 dan farq qiladi: bittasi harakat, ikkinchisi mashg'ulot.","[{""kanji"":""読"",""meaning"":""o'qimoq"",""kunReading"":""yo"",""onReading"":""doku"",""strokes"":14}]","[{""sentence"":""日本語の本を読みました。(にほんごのほんをよみました。)"",""translation"":""Yapon tilidagi kitob o'qidim.""},{""sentence"":""この漢字が読めません。(このかんじがよめません。)"",""translation"":""Bu iyeroglifni o'qiy olmayman.""}]","[{""word"":""読み方"",""hiragana"":""よみかた"",""meaning"":""o'qilishi""},{""word"":""読書"",""hiragana"":""どくしょ"",""meaning"":""kitobxonlik""}]"
"書きます","かきます","yozmoq; chizmoq","fe'l","N5","Top 500","⓪","書いて","書いた","書かない","書きます","手紙を書きます。(てがみをかきます。)","Xat yozaman.","","読みます","Harf va matn uchun 「書く」, rasm uchun esa boshqa belgi ishlatiladi — 「描く（かく）」. O'qilishi bir xil, kanjisi boshqa.","[{""kanji"":""書"",""meaning"":""yozmoq, kitob"",""kunReading"":""ka"",""onReading"":""sho"",""strokes"":10}]","[{""sentence"":""レポートを書きました。(れぽーとをかきました。)"",""translation"":""Hisobot yozdim.""},{""sentence"":""ここに名前を書いてください。(ここになまえをかいてください。)"",""translation"":""Bu yerga ismingizni yozing.""}]","[{""word"":""辞書"",""hiragana"":""じしょ"",""meaning"":""lug'at""},{""word"":""書き方"",""hiragana"":""かきかた"",""meaning"":""yozilishi, yozish usuli""}]"
"買います","かいます","sotib olmoq","fe'l","N5","Top 500","⓪","買って","買った","買わない","買います","スーパーで野菜を買います。(すーぱーでやさいをかいます。)","Supermarketdan sabzavot sotib olaman.","購入する","売ります","Xarid qilinadigan joy 「で」 bilan beriladi: 「スーパーで買います」. Juftligi — 「売る（うる）」, 3-darsdagi 「売り場」 shu ildizdan.","[{""kanji"":""買"",""meaning"":""sotib olmoq"",""kunReading"":""ka"",""onReading"":""bai"",""strokes"":12}]","[{""sentence"":""きのう靴を買いました。(きのうくつをかいました。)"",""translation"":""Kecha poyafzal sotib oldim.""},{""sentence"":""何を買いますか。(なにをかいますか。)"",""translation"":""Nima sotib olasiz?""}]","[{""word"":""買い物"",""hiragana"":""かいもの"",""meaning"":""xarid""}]"
"撮ります","とります","suratga olmoq [写真を～]","fe'l","N5","Top 2000","②","撮って","撮った","撮らない","撮ります","公園で写真を撮ります。(こうえんでしゃしんをとります。)","Bog'da rasmga olaman.","","","「とる」 o'qilishida bir nechta kanji bor: 撮る (suratga olmoq), 取る (olmoq, ushlamoq), 採る (yig'moq). Kamera bilan bog'liq bo'lsa — 撮る.","[{""kanji"":""撮"",""meaning"":""suratga olmoq"",""kunReading"":""to"",""onReading"":""satsu"",""strokes"":15}]","[{""sentence"":""写真を撮ってもいいですか。(しゃしんをとってもいいですか。)"",""translation"":""Rasmga olsam bo'ladimi?""},{""sentence"":""友達と写真を撮りました。(ともだちとしゃしんをとりました。)"",""translation"":""Do'stim bilan rasmga tushdim.""}]","[{""word"":""撮影"",""hiragana"":""さつえい"",""meaning"":""suratga olish, s'yomka""}]"
"します","します","qilmoq, bajarmoq","fe'l","N5","Top 100","⓪","して","した","しない","します","日曜日にテニスをします。(にちようびにてにすをします。)","Yakshanba kuni tennis o'ynayman.","やります","","「来る」 bilan birga yaponchadagi ikki qoidasiz fe'ldan biri: します・して・した・しない. Otga qo'shilib fe'l yasaydi: 勉強します, テニスをします. Erkin nutqda 「やる」 ham ishlatiladi.","[]","[{""sentence"":""宿題をしました。(しゅくだいをしました。)"",""translation"":""Uy vazifasini bajardim.""},{""sentence"":""何をしますか。(なにをしますか。)"",""translation"":""Nima qilasiz?""}]","[{""word"":""仕事をします"",""hiragana"":""しごとをします"",""meaning"":""ishlamoq""}]"
