"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"切ります","きります","kesmoq (pichoqda), qirqmoq (qaychida)","fe'l","N5","Top 1000","③","切って","切った","切らない","切ります","ナイフでパンを切ります。(ないふでぱんをきります。)","Pichoq bilan nonni kesaman.","カットする","","Bu darsda 「で」 yuklamasining yangi vazifasi kiritiladi — vosita, ya'ni nima bilan qilinishi: 「ナイフで切ります」. Diqqat: 「切る」 ko'rinishi 「-る」 bilan tugasa ham, birinchi guruh fe'li (切ります, 切って).","[{""kanji"":""切"",""meaning"":""kesmoq"",""kunReading"":""ki"",""onReading"":""setsu, sai"",""strokes"":4}]","[{""sentence"":""はさみで紙を切りました。(はさみでかみをきりました。)"",""translation"":""Qaychi bilan qog'ozni qirqdim.""},{""sentence"":""野菜を小さく切ってください。(やさいをちいさくきってください。)"",""translation"":""Sabzavotni mayda qilib to'g'rang.""}]","[{""word"":""切符"",""hiragana"":""きっぷ"",""meaning"":""chipta""},{""word"":""大切"",""hiragana"":""たいせつ"",""meaning"":""muhim, qadrli""}]"
"送ります","おくります","jo'natmoq, yubormoq; kuzatib qo'ymoq","fe'l","N5","Top 1000","⓪","送って","送った","送らない","送ります","友達に手紙を送ります。(ともだちにてがみをおくります。)","Do'stimga xat jo'nataman.","出します","もらいます","Kimga — 「に」, qayerga — 「へ」, nima orqali — 「で」. Ikkinchi ma'nosi ham bor: mehmonni kuzatib qo'ymoq (「駅まで送ります」).","[{""kanji"":""送"",""meaning"":""jo'natmoq, kuzatmoq"",""kunReading"":""oku"",""onReading"":""sou"",""strokes"":9}]","[{""sentence"":""国へ荷物を送りました。(くにへにもつをおくりました。)"",""translation"":""Vatanimga yuk jo'natdim.""},{""sentence"":""メールで写真を送ります。(めーるでしゃしんをおくります。)"",""translation"":""Rasmni pochta orqali yuboraman.""}]","[{""word"":""見送り"",""hiragana"":""みおくり"",""meaning"":""kuzatib qo'yish""},{""word"":""送料"",""hiragana"":""そうりょう"",""meaning"":""yetkazib berish haqi""}]"
"あげます","あげます","bermoq, sovg'a qilmoq","fe'l","N5","Top 500","⓪","あげて","あげた","あげない","あげます","友達に花をあげます。(ともだちにはなをあげます。)","Do'stimga gul beraman.","差し上げます","もらいます","Muhim cheklov: 「あげます」 faqat MEN yoki men tomonimdan boshqaga berilganda ishlatiladi. Kimdir MENGA bergan bo'lsa 「あげます」 emas, 「くれます」 deyiladi (keyingi darsda). Hurmatli shakli — 「差し上げます」.","[]","[{""sentence"":""母にプレゼントをあげました。(ははにぷれぜんとをあげました。)"",""translation"":""Onamga sovg'a berdim.""},{""sentence"":""だれにあげますか。(だれにあげますか。)"",""translation"":""Kimga berasiz?""}]","[{""word"":""差し上げます"",""hiragana"":""さしあげます"",""meaning"":""bermoq (hurmatli)""}]"
"もらいます","もらいます","olmoq (birovdan)","fe'l","N5","Top 500","⓪","もらって","もらった","もらわない","もらいます","友達に花をもらいました。(ともだちにはなをもらいました。)","Do'stimdan gul oldim.","いただきます","あげます","Kimdan olingani 「に」 bilan beriladi — o'zbekchadagi ""-dan"" ga aldanmang: 「友達**に**もらいました」. 「から」 ham mumkin, ayniqsa tashkilotdan olinganda. Kamtarona shakli — 「いただきます」.","[]","[{""sentence"":""誕生日にプレゼントをもらいました。(たんじょうびにぷれぜんとをもらいました。)"",""translation"":""Tug'ilgan kunimda sovg'a oldim.""},{""sentence"":""だれにもらいましたか。(だれにもらいましたか。)"",""translation"":""Kimdan oldingiz?""}]","[{""word"":""いただきます"",""hiragana"":""いただきます"",""meaning"":""olmoq (kamtarona)""}]"
"貸します","かします","qarzga bermoq, berib turmoq","fe'l","N5","Top 2000","⓪","貸して","貸した","貸さない","貸します","友達にお金を貸しました。(ともだちにおかねをかしました。)","Do'stimga pul qarz berdim.","","借ります","Bu darsdagi eng chalkash juftlik: 「貸します」 — MEN beraman, 「借ります」 — MEN olaman. Yodlash usuli: 貸す — 「か**し**ます」 va ""shu menda edi""; 借りる — 「か**り**ます」 va ""menga keldi"".","[{""kanji"":""貸"",""meaning"":""qarzga bermoq"",""kunReading"":""ka"",""onReading"":""tai"",""strokes"":12}]","[{""sentence"":""傘を貸してください。(かさをかしてください。)"",""translation"":""Soyaboningizni berib turing.""},{""sentence"":""辞書を貸しましょうか。(じしょをかしましょうか。)"",""translation"":""Lug'atimni berib turaymi?""}]","[{""word"":""貸し出し"",""hiragana"":""かしだし"",""meaning"":""ijaraga berish, kitob berish""}]"
"借ります","かります","qarzga olmoq, olib turmoq","fe'l","N5","Top 2000","⓪","借りて","借りた","借りない","借ります","図書館で本を借りました。(としょかんでほんをかりました。)","Kutubxonadan kitob oldim.","レンタルする","貸します","「貸します」ning ziddi. Diqqat: bu ikkinchi guruh fe'li (借りる → 借ります, 借りて), 「切る」 dan farqli. Kimdan olingani 「に」 yoki 「から」 bilan.","[{""kanji"":""借"",""meaning"":""qarzga olmoq"",""kunReading"":""ka"",""onReading"":""shaku"",""strokes"":10}]","[{""sentence"":""銀行にお金を借ります。(ぎんこうにおかねをかります。)"",""translation"":""Bankdan qarz olaman.""},{""sentence"":""トイレを借りてもいいですか。(といれをかりてもいいですか。)"",""translation"":""Hojatxonangizdan foydalansam bo'ladimi?""}]","[{""word"":""借り"",""hiragana"":""かり"",""meaning"":""qarz, minnatdorchilik""}]"
"教えます","おしえます","o'rgatmoq, saboq bermoq; aytib bermoq","fe'l","N5","Top 500","⓪","教えて","教えた","教えない","教えます","先生は日本語を教えます。(せんせいはにほんごをおしえます。)","Ustoz yapon tilidan dars beradi.","","習います","Ikki ma'noli: dars bermoq va shunchaki ma'lumot aytib bermoq (「道を教えてください」 — yo'lni ko'rsating). 1-darsdagi 「教師」 va 3-darsdagi 「教室」 shu ildizdan.","[{""kanji"":""教"",""meaning"":""o'rgatmoq"",""kunReading"":""oshi, oso"",""onReading"":""kyou"",""strokes"":11}]","[{""sentence"":""電話番号を教えてください。(でんわばんごうをおしえてください。)"",""translation"":""Telefon raqamingizni ayting.""},{""sentence"":""友達に漢字を教えました。(ともだちにかんじをおしえました。)"",""translation"":""Do'stimga iyeroglif o'rgatdim.""}]","[{""word"":""教室"",""hiragana"":""きょうしつ"",""meaning"":""sinfxona""},{""word"":""教師"",""hiragana"":""きょうし"",""meaning"":""o'qituvchi""}]"
"習います","ならいます","o'rganmoq, saboq olmoq","fe'l","N5","Top 2000","③","習って","習った","習わない","習います","先生に日本語を習います。(せんせいににほんごをならいます。)","Ustozdan yapon tilini o'rganaman.","学びます","教えます","4-darsdagi 「勉強します」 dan farqi: 「習う」 — USTOZDAN o'rganish (kimdan — 「に」), 「勉強する」 — mustaqil o'qish. Shuning uchun 「独学で習う」 deyilmaydi.","[{""kanji"":""習"",""meaning"":""o'rganmoq, mashq qilmoq"",""kunReading"":""nara"",""onReading"":""shuu"",""strokes"":11}]","[{""sentence"":""ピアノを習っています。(ぴあのをならっています。)"",""translation"":""Pianino o'rganyapman.""},{""sentence"":""だれに習いましたか。(だれにならいましたか。)"",""translation"":""Kimdan o'rgandingiz?""}]","[{""word"":""習慣"",""hiragana"":""しゅうかん"",""meaning"":""odat, urf""},{""word"":""練習"",""hiragana"":""れんしゅう"",""meaning"":""mashq""}]"
"かけます","かけます","qo'ng'iroq qilmoq [電話を～]","fe'l","N5","Top 1000","②","かけて","かけた","かけない","かけます","友達に電話をかけます。(ともだちにでんわをかけます。)","Do'stimga qo'ng'iroq qilaman.","電話します","","「かける」 juda ko'p ma'noli fe'l: 電話をかける (qo'ng'iroq), めがねをかける (ko'zoynak taqmoq), 音楽をかける (musiqa qo'ymoq), 時間をかける (vaqt sarflamoq). Bu darsda faqat telefon ma'nosi.","[]","[{""sentence"":""国に電話をかけました。(くににでんわをかけました。)"",""translation"":""Vatanimga qo'ng'iroq qildim.""},{""sentence"":""あとで電話をかけます。(あとででんわをかけます。)"",""translation"":""Keyinroq qo'ng'iroq qilaman.""}]","[{""word"":""電話"",""hiragana"":""でんわ"",""meaning"":""telefon""}]"
"手","て","qo'l","ot","N5","Top 500","①","","","","","手で食べます。(てでたべます。)","Qo'l bilan yeyman.","","足","「手」 yaponchada kaftdan yelkagacha bo'lgan qismni bildiradi — o'zbekchadagi ""qo'l"" bilan bir xil. 3-darsdagi 「お手洗い」 va 6-darsdagi 「手紙」 shu belgidan.","[{""kanji"":""手"",""meaning"":""qo'l"",""kunReading"":""te"",""onReading"":""shu"",""strokes"":4}]","[{""sentence"":""手を洗ってください。(てをあらってください。)"",""translation"":""Qo'lingizni yuving.""},{""sentence"":""手が大きいですね。(てがおおきいですね。)"",""translation"":""Qo'lingiz katta ekan.""}]","[{""word"":""手紙"",""hiragana"":""てがみ"",""meaning"":""xat""},{""word"":""上手"",""hiragana"":""じょうず"",""meaning"":""mohir, ustasi""}]"
