"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"起きます","おきます","uyg'onmoq, turmoq","fe'l","N5","Top 500","②","起きて","起きた","起きない","起きます","毎朝六時に起きます。(まいあさろくじにおきます。)","Har kuni ertalab soat oltida turaman.","目が覚める","寝ます","「起きる」 — uyqudan turish va o'rnidan qo'zg'alish. Ko'z ochilishi (ixtiyorsiz) esa 「目が覚める（めがさめる）」 deyiladi. Vaqt ko'rsatilganda 「に」 yuklamasi keladi: 六時に起きます.","[{""kanji"":""起"",""meaning"":""turmoq, boshlanmoq"",""kunReading"":""o"",""onReading"":""ki"",""strokes"":10}]","[{""sentence"":""今日は七時に起きました。(きょうはしちじにおきました。)"",""translation"":""Bugun soat yettida turdim.""},{""sentence"":""日曜日は早く起きません。(にちようびははやくおきません。)"",""translation"":""Yakshanba kuni erta turmayman.""}]","[{""word"":""早起き"",""hiragana"":""はやおき"",""meaning"":""erta turish""},{""word"":""起こす"",""hiragana"":""おこす"",""meaning"":""uyg'otmoq""}]"
"寝ます","ねます","uxlamoq, yotmoq","fe'l","N5","Top 500","⓪","寝て","寝た","寝ない","寝ます","毎晩十一時に寝ます。(まいばんじゅういちじにねます。)","Har kecha soat o'n birda uxlayman.","眠る","起きます","「寝る」 — yotish va uxlash; 「眠る（ねむる）」 esa aynan uyquga ketish. ""Yotdim, lekin uxlay olmadim"" — 「寝ましたが、眠れませんでした」 deb aytiladi.","[{""kanji"":""寝"",""meaning"":""uxlamoq, yotmoq"",""kunReading"":""ne"",""onReading"":""shin"",""strokes"":13}]","[{""sentence"":""昨日は早く寝ました。(きのうははやくねました。)"",""translation"":""Kecha erta uxladim.""},{""sentence"":""子どもはもう寝ています。(こどもはもうねています。)"",""translation"":""Bola allaqachon uxlayapti.""}]","[{""word"":""昼寝"",""hiragana"":""ひるね"",""meaning"":""kunduzgi uyqu""},{""word"":""寝坊"",""hiragana"":""ねぼう"",""meaning"":""uxlab qolish""}]"
"働きます","はたらきます","ishlamoq, mehnat qilmoq","fe'l","N5","Top 1000","⓪","働いて","働いた","働かない","働きます","銀行で働いています。(ぎんこうではたらいています。)","Bankda ishlayman.","勤める, 仕事をする","休みます","「働く」 — mehnat qilish jarayoni, joyi 「で」 bilan keladi. 「勤める（つとめる）」 esa muassasaga xizmatda bo'lish va 「に」 talab qiladi: 銀行に勤めています.","[{""kanji"":""働"",""meaning"":""ishlamoq"",""kunReading"":""hatara"",""onReading"":""dou"",""strokes"":13}]","[{""sentence"":""九時から五時まで働きます。(くじからごじまではたらきます。)"",""translation"":""Soat to'qqizdan beshgacha ishlayman.""},{""sentence"":""土曜日は働きません。(どようびははたらきません。)"",""translation"":""Shanba kuni ishlamayman.""}]","[{""word"":""共働き"",""hiragana"":""ともばたらき"",""meaning"":""er-xotinning ikkalasi ishlashi""},{""word"":""労働"",""hiragana"":""ろうどう"",""meaning"":""mehnat""}]"
"休みます","やすみます","dam olmoq; ishga (darsga) bormaslik","fe'l","N5","Top 1000","③","休んで","休んだ","休まない","休みます","日曜日は休みます。(にちようびはやすみます。)","Yakshanba kuni dam olaman.","休憩する","働きます","Ikki ma'nosini yuklama ajratadi: 「休みます」 — dam olmoq, 「会社を休みます」 — ishga bormaslik (「を」 bilan). Qisqa tanaffus uchun 「休憩する（きゅうけいする）」 ham bor.","[{""kanji"":""休"",""meaning"":""dam olmoq"",""kunReading"":""yasu"",""onReading"":""kyuu"",""strokes"":6}]","[{""sentence"":""昨日は会社を休みました。(きのうはかいしゃをやすみました。)"",""translation"":""Kecha ishga bormadim.""},{""sentence"":""ちょっと休みましょう。(ちょっとやすみましょう。)"",""translation"":""Bir oz dam olaylik.""}]","[{""word"":""休み"",""hiragana"":""やすみ"",""meaning"":""dam olish, ta'til""},{""word"":""休憩"",""hiragana"":""きゅうけい"",""meaning"":""tanaffus""}]"
"勉強します","べんきょうします","dars qilmoq, o'qimoq, dars tayyorlamoq","fe'l","N5","Top 500","⓪","勉強して","勉強した","勉強しない","勉強します","毎晩日本語を勉強します。(まいばんにほんごをべんきょうします。)","Har kecha yapon tilini o'rganaman.","学ぶ, 習う","遊びます","「勉強する」 — mustaqil o'qish, mashq qilish. 「習う（ならう）」 esa ustozdan o'rganish. 「勉強」ning o'zi ""tirishqoqlik"" ma'nosini ham bildiradi; do'konda 「勉強します」 ""chegirma qilaman"" degani.","[{""kanji"":""勉"",""meaning"":""tirishmoq"",""kunReading"":""-"",""onReading"":""ben"",""strokes"":10},{""kanji"":""強"",""meaning"":""kuchli"",""kunReading"":""tsuyo"",""onReading"":""kyou"",""strokes"":11}]","[{""sentence"":""図書館で勉強しました。(としょかんでべんきょうしました。)"",""translation"":""Kutubxonada dars qildim.""},{""sentence"":""今晩は勉強しません。(こんばんはべんきょうしません。)"",""translation"":""Bugun kechqurun dars qilmayman.""}]","[{""word"":""勉強"",""hiragana"":""べんきょう"",""meaning"":""o'qish, ta'lim""},{""word"":""受験勉強"",""hiragana"":""じゅけんべんきょう"",""meaning"":""imtihonga tayyorgarlik""}]"
"終わります","おわります","tugamoq, tamom bo'lmoq","fe'l","N5","Top 1000","⓪","終わって","終わった","終わらない","終わります","仕事は五時に終わります。(しごとはごじにおわります。)","Ish soat beshda tugaydi.","済む","始まります","「終わります」 — o'zlik fe'l: narsaning o'zi tugaydi. Kimdir tugatsa 「終えます（おえます）」 ishlatiladi. Juftligi — 「始まります（はじまります）」.","[{""kanji"":""終"",""meaning"":""tugamoq, oxir"",""kunReading"":""o"",""onReading"":""shuu"",""strokes"":11}]","[{""sentence"":""授業は何時に終わりますか。(じゅぎょうはなんじにおわりますか。)"",""translation"":""Dars soat nechada tugaydi?""},{""sentence"":""会議はもう終わりました。(かいぎはもうおわりました。)"",""translation"":""Yig'ilish allaqachon tugadi.""}]","[{""word"":""終わり"",""hiragana"":""おわり"",""meaning"":""oxiri, yakuni""},{""word"":""終電"",""hiragana"":""しゅうでん"",""meaning"":""oxirgi poyezd""}]"
"デパート","デパート","univermag, savdo markazi","ot","N5","Top 2000","②","","","","","デパートは十時から八時までです。(でぱーとはじゅうじからはちじまでです。)","Univermag soat o'ndan sakkizgacha ishlaydi.","百貨店","","Inglizcha ""department store"" dan qisqargan. Rasmiy nomi 「百貨店（ひゃっかてん）」. 3-darsdagi 「地下」 bilan birga 「デパ地下」 — univermagning yer ostidagi oziq-ovqat bo'limi.","[]","[{""sentence"":""デパートで靴を買いました。(でぱーとでくつをかいました。)"",""translation"":""Univermagdan poyafzal sotib oldim.""},{""sentence"":""デパートは日曜日も開いています。(でぱーとはにちようびもあいています。)"",""translation"":""Univermag yakshanba kuni ham ochiq.""}]","[{""word"":""デパ地下"",""hiragana"":""デパちか"",""meaning"":""univermagning yer osti oziq-ovqat bo'limi""}]"
"銀行","ぎんこう","bank","ot","N5","Top 1000","⓪","","","","","銀行は九時から三時までです。(ぎんこうはくじからさんじまでです。)","Bank soat to'qqizdan uchgacha ishlaydi.","","","「銀（kumush）」＋「行（muassasa）」. Yaponiyada banklar odatda 15:00 da yopiladi — shuning uchun darslikda bank ish vaqti misol sifatida ko'p keladi. 1-darsdagi 「銀行員」 shu so'zdan.","[{""kanji"":""銀"",""meaning"":""kumush"",""kunReading"":""shirogane"",""onReading"":""gin"",""strokes"":14},{""kanji"":""行"",""meaning"":""bormoq; muassasa"",""kunReading"":""i, yu"",""onReading"":""kou, gyou"",""strokes"":6}]","[{""sentence"":""銀行で働いています。(ぎんこうではたらいています。)"",""translation"":""Bankda ishlayman.""},{""sentence"":""銀行は何時に終わりますか。(ぎんこうはなんじにおわりますか。)"",""translation"":""Bank soat nechada yopiladi?""}]","[{""word"":""銀行員"",""hiragana"":""ぎんこういん"",""meaning"":""bank xodimi""},{""word"":""銀行口座"",""hiragana"":""ぎんこうこうざ"",""meaning"":""bank hisobi""}]"
"郵便局","ゆうびんきょく","pochta idorasi, pochta bo'limi","ot","N5","Top 2000","③","","","","","郵便局は五時までです。(ゆうびんきょくはごじまでです。)","Pochta soat beshgacha ishlaydi.","","","「郵便（pochta）」＋「局（idora）」. Yaponiyada pochta belgisi 〒 — bu 「テ」 harfidan olingan (逓信 so'zining birinchi bo'g'ini).","[{""kanji"":""郵"",""meaning"":""pochta"",""kunReading"":""-"",""onReading"":""yuu"",""strokes"":11},{""kanji"":""便"",""meaning"":""qulaylik, xabar"",""kunReading"":""tayo"",""onReading"":""bin, ben"",""strokes"":9},{""kanji"":""局"",""meaning"":""idora, bo'lim"",""kunReading"":""-"",""onReading"":""kyoku"",""strokes"":7}]","[{""sentence"":""郵便局で手紙を出します。(ゆうびんきょくでてがみをだします。)"",""translation"":""Pochtadan xat jo'nataman.""},{""sentence"":""郵便局はどこですか。(ゆうびんきょくはどこですか。)"",""translation"":""Pochta qayerda?""}]","[{""word"":""郵便"",""hiragana"":""ゆうびん"",""meaning"":""pochta""},{""word"":""郵便番号"",""hiragana"":""ゆうびんばんごう"",""meaning"":""pochta indeksi""}]"
"図書館","としょかん","kutubxona","ot","N5","Top 2000","②","","","","","図書館は月曜日が休みです。(としょかんはげつようびがやすみです。)","Kutubxona dushanba kuni dam oladi.","","","「図書（kitoblar）」＋「館（bino）」. Diqqat: 「図」 bu yerda 「と」 deb o'qiladi (「ず」 emas). Xuddi shu 「館」 belgisi 「美術館」「大使館」 kabi binolarda takrorlanadi.","[{""kanji"":""図"",""meaning"":""chizma, reja"",""kunReading"":""haka"",""onReading"":""to, zu"",""strokes"":7},{""kanji"":""書"",""meaning"":""yozmoq, kitob"",""kunReading"":""ka"",""onReading"":""sho"",""strokes"":10},{""kanji"":""館"",""meaning"":""katta bino, saroy"",""kunReading"":""yakata"",""onReading"":""kan"",""strokes"":16}]","[{""sentence"":""図書館で勉強します。(としょかんでべんきょうします。)"",""translation"":""Kutubxonada dars qilaman.""},{""sentence"":""図書館で本を借りました。(としょかんでほんをかりました。)"",""translation"":""Kutubxonadan kitob oldim.""}]","[{""word"":""図書"",""hiragana"":""としょ"",""meaning"":""kitoblar, adabiyot""},{""word"":""図書カード"",""hiragana"":""としょカード"",""meaning"":""kutubxona kartochkasi""}]"
"美術館","びじゅつかん","badiiy san'at muzeyi, rasm galereyasi","ot","N5","Top 5000","③","","","","","美術館は九時から四時までです。(びじゅつかんはくじからよじまでです。)","Muzey soat to'qqizdan to'rtgacha ishlaydi.","ギャラリー","","「美術（tasviriy san'at）」＋「館（bino）」 — aynan rasm va haykal muzeyi. Tarixiy yoki tabiiy muzey esa 「博物館（はくぶつかん）」 deyiladi.","[{""kanji"":""美"",""meaning"":""go'zal"",""kunReading"":""utsuku"",""onReading"":""bi"",""strokes"":9},{""kanji"":""術"",""meaning"":""san'at, mahorat"",""kunReading"":""-"",""onReading"":""jutsu"",""strokes"":11},{""kanji"":""館"",""meaning"":""katta bino, saroy"",""kunReading"":""yakata"",""onReading"":""kan"",""strokes"":16}]","[{""sentence"":""日曜日に美術館へ行きます。(にちようびにびじゅつかんへいきます。)"",""translation"":""Yakshanba kuni muzeyga boraman.""},{""sentence"":""この美術館は有名です。(このびじゅつかんはゆうめいです。)"",""translation"":""Bu muzey mashhur.""}]","[{""word"":""美術"",""hiragana"":""びじゅつ"",""meaning"":""tasviriy san'at""},{""word"":""博物館"",""hiragana"":""はくぶつかん"",""meaning"":""muzey (tarixiy, ilmiy)""}]"
"今","いま","hozir, hozirgi vaqtda","ot","N5","Top 100","①","","","","","今何時ですか。(いまなんじですか。)","Hozir soat necha?","現在","昔","「今」 vaqt so'zlaridan biri bo'lib, 「に」 yuklamasini olmaydi: 「今に行きます」 emas, shunchaki 「今行きます」. Rasmiy uslubda 「現在（げんざい）」 ishlatiladi.","[{""kanji"":""今"",""meaning"":""hozir"",""kunReading"":""ima"",""onReading"":""kon, kin"",""strokes"":4}]","[{""sentence"":""今四時半です。(いまよじはんです。)"",""translation"":""Hozir soat to'rt yarim.""},{""sentence"":""今から行きます。(いまからいきます。)"",""translation"":""Hozir boraman.""}]","[{""word"":""今日"",""hiragana"":""きょう"",""meaning"":""bugun""},{""word"":""今晩"",""hiragana"":""こんばん"",""meaning"":""bugun kechqurun""}]"
