"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"います","います","bor bo'lmoq, mavjud bo'lmoq (jonli mavjudotlar)","fe'l","N5","Top 100","②","いて","いた","いない","います","庭に犬がいます。(にわにいぬがいます。)","Hovlida it bor.","いらっしゃいます","あります","Bu darsning o'zagi: **jonli** mavjudot (odam, hayvon) uchun 「います」, **jonsiz** narsa uchun 「あります」. Daraxt va gul jonli bo'lsa ham harakatlanmagani uchun 「あります」 oladi. Joy 「に」 bilan, mavjud narsa 「が」 bilan beriladi.","[]","[{""sentence"":""事務所に男の人がいます。(じむしょにおとこのひとがいます。)"",""translation"":""Ofisda bir erkak kishi bor.""},{""sentence"":""子どもが二人います。(こどもがふたりいます。)"",""translation"":""Ikkita farzandim bor.""}]","[{""word"":""いらっしゃいます"",""hiragana"":""いらっしゃいます"",""meaning"":""bor, bo'lmoq (hurmatli)""}]"
"あります","あります","bor bo'lmoq, mavjud bo'lmoq (jonsiz narsalar)","fe'l","N5","Top 100","③","あって","あった","ない","あります","机の上に本があります。(つくえのうえにほんがあります。)","Stol ustida kitob bor.","ございます","います","9-darsda ""ega bo'lmoq"" ma'nosida o'rganilgan edi; bu darsda **joyni** bildiradi: 「（joy）に（narsa）があります」. Jonli mavjudotlar uchun esa 「います」 ishlatiladi.","[]","[{""sentence"":""公園に木がたくさんあります。(こうえんにきがたくさんあります。)"",""translation"":""Bog'da daraxt ko'p.""},{""sentence"":""箱の中に何がありますか。(はこのなかになにがありますか。)"",""translation"":""Qutining ichida nima bor?""}]","[{""word"":""ございます"",""hiragana"":""ございます"",""meaning"":""bor (hurmatli)""}]"
"いろいろ[な]","いろいろ[な]","har xil, turli-tuman","na-sifat","N5","Top 500","⓪","","","","","店にいろいろな物があります。(みせにいろいろなものがあります。)","Do'konda har xil narsa bor.","さまざま","","「色（rang）」 ning takroridan kelib chiqqan — ""rang-barang"" degani. 「な」 siz ravish sifatida ham keladi: 「いろいろ話しました」 — turli narsalar haqida gaplashdik.","[]","[{""sentence"":""いろいろな国へ行きました。(いろいろなくにへいきました。)"",""translation"":""Turli mamlakatlarga bordim.""},{""sentence"":""いろいろ ありがとうございました。(いろいろありがとうございました。)"",""translation"":""Hamma narsa uchun rahmat.""}]","[{""word"":""色"",""hiragana"":""いろ"",""meaning"":""rang""}]"
"男の人","おとこのひと","erkak kishi","ot","N5","Top 1000","","","","","","あそこに男の人がいます。(あそこにおとこのひとがいます。)","Ana u yerda bir erkak kishi bor.","男性","女の人","5-darsdagi 「人」 bilan yasalgan. Rasmiy uslubda 「男性（だんせい）」 ishlatiladi — hujjat va e'lonlarda shu shakl keladi.","[{""kanji"":""男"",""meaning"":""erkak"",""kunReading"":""otoko"",""onReading"":""dan, nan"",""strokes"":7},{""kanji"":""人"",""meaning"":""odam, kishi"",""kunReading"":""hito"",""onReading"":""jin, nin"",""strokes"":2}]","[{""sentence"":""男の人が二人います。(おとこのひとがふたりいます。)"",""translation"":""Ikki erkak kishi bor.""},{""sentence"":""その男の人は先生です。(そのおとこのひとはせんせいです。)"",""translation"":""U erkak kishi o'qituvchi.""}]","[{""word"":""男性"",""hiragana"":""だんせい"",""meaning"":""erkak (rasmiy)""},{""word"":""男"",""hiragana"":""おとこ"",""meaning"":""erkak""}]"
"女の人","おんなのひと","ayol kishi","ot","N5","Top 1000","","","","","","受付に女の人がいます。(うけつけにおんなのひとがいます。)","Qabulxonada bir ayol kishi bor.","女性","男の人","Rasmiy shakli 「女性（じょせい）」. 「女（おんな）」 ni yolg'iz ishlatish qo'pol eshitilishi mumkin, shuning uchun 「女の人」 yoki 「女性」 ma'qul.","[{""kanji"":""女"",""meaning"":""ayol"",""kunReading"":""onna, me"",""onReading"":""jo, nyo"",""strokes"":3},{""kanji"":""人"",""meaning"":""odam, kishi"",""kunReading"":""hito"",""onReading"":""jin, nin"",""strokes"":2}]","[{""sentence"":""あの女の人は医者です。(あのおんなのひとはいしゃです。)"",""translation"":""U ayol kishi shifokor.""},{""sentence"":""女の人が三人います。(おんなのひとがさんにんいます。)"",""translation"":""Uch ayol kishi bor.""}]","[{""word"":""女性"",""hiragana"":""じょせい"",""meaning"":""ayol (rasmiy)""},{""word"":""女"",""hiragana"":""おんな"",""meaning"":""ayol""}]"
"男の子","おとこのこ","o'g'il bola","ot","N5","Top 2000","","","","","","公園に男の子がいます。(こうえんにおとこのこがいます。)","Bog'da bir o'g'il bola bor.","少年","女の子","9-darsdagi 「子ども」 bilan yasalgan. Farzand jinsini aytishda ishlatiladi: 「子どもは男の子です」. Rasmiy uslubda 「少年（しょうねん）」.","[{""kanji"":""男"",""meaning"":""erkak"",""kunReading"":""otoko"",""onReading"":""dan"",""strokes"":7},{""kanji"":""子"",""meaning"":""bola"",""kunReading"":""ko"",""onReading"":""shi"",""strokes"":3}]","[{""sentence"":""男の子が二人います。(おとこのこがふたりいます。)"",""translation"":""Ikkita o'g'lim bor.""},{""sentence"":""あの男の子は元気ですね。(あのおとこのこはげんきですね。)"",""translation"":""Anavi bola tetik ekan.""}]","[{""word"":""子ども"",""hiragana"":""こども"",""meaning"":""bola, farzand""}]"
"女の子","おんなのこ","qiz bola","ot","N5","Top 2000","","","","","","うちに女の子が一人います。(うちにおんなのこがひとりいます。)","Uyimizda bitta qizim bor.","少女","男の子","Rasmiy shakli 「少女（しょうじょ）」. Kattaroq qizlar uchun 「女の子」 emas, 「女性」 ishlatiladi.","[{""kanji"":""女"",""meaning"":""ayol"",""kunReading"":""onna"",""onReading"":""jo"",""strokes"":3},{""kanji"":""子"",""meaning"":""bola"",""kunReading"":""ko"",""onReading"":""shi"",""strokes"":3}]","[{""sentence"":""女の子が歌を歌っています。(おんなのこがうたをうたっています。)"",""translation"":""Qiz bola qo'shiq aytyapti.""},{""sentence"":""その女の子は何歳ですか。(そのおんなのこはなんさいですか。)"",""translation"":""U qiz necha yoshda?""}]","[]"
"犬","いぬ","it, kuchuk","ot","N5","Top 1000","②","","","","","庭に犬がいます。(にわにいぬがいます。)","Hovlida it bor.","","猫","Kichik hayvonlar 「～匹（ひき）」 bilan sanaladi: 一匹（いっぴき）, 二匹（にひき）, 三匹（さんびき）. Yaponiyaning mashhur iti — 「秋田犬（あきたいぬ）」, Hachiko ham shu zotdan.","[{""kanji"":""犬"",""meaning"":""it"",""kunReading"":""inu"",""onReading"":""ken"",""strokes"":4}]","[{""sentence"":""犬が好きです。(いぬがすきです。)"",""translation"":""Itlarni yaxshi ko'raman.""},{""sentence"":""犬と散歩します。(いぬとさんぽします。)"",""translation"":""It bilan sayr qilaman.""}]","[{""word"":""子犬"",""hiragana"":""こいぬ"",""meaning"":""kuchukcha""}]"
"猫","ねこ","mushuk","ot","N5","Top 1000","①","","","","","うちに猫がいます。(うちにねこがいます。)","Uyimizda mushuk bor.","","犬","Yaponiyada mushuk omad ramzi — do'konlardagi qo'l silkituvchi mushuk haykalchasi 「招き猫（まねきねこ）」 deb ataladi.","[{""kanji"":""猫"",""meaning"":""mushuk"",""kunReading"":""neko"",""onReading"":""byou"",""strokes"":11}]","[{""sentence"":""猫が木の上にいます。(ねこがきのうえにいます。)"",""translation"":""Mushuk daraxt ustida.""},{""sentence"":""猫と犬とどちらが好きですか。(ねこといぬとどちらがすきですか。)"",""translation"":""Mushuk bilan itdan qaysi birini yoqtirasiz?""}]","[{""word"":""子猫"",""hiragana"":""こねこ"",""meaning"":""mushukcha""},{""word"":""招き猫"",""hiragana"":""まねきねこ"",""meaning"":""omad keltiruvchi mushuk haykalchasi""}]"
"木","き","daraxt; yog'och","ot","N5","Top 500","①","","","","","公園に木がたくさんあります。(こうえんにきがたくさんあります。)","Bog'da daraxt ko'p.","樹木","","Daraxt jonli bo'lsa ham harakatlanmagani uchun **「あります」** oladi — 「木がいます」 noto'g'ri. 4-darsdagi 「木曜日」 dagi 「木」 shu belgidan (u yerda 「もく」).","[{""kanji"":""木"",""meaning"":""daraxt, yog'och"",""kunReading"":""ki, ko"",""onReading"":""moku, boku"",""strokes"":4}]","[{""sentence"":""木の下に猫がいます。(きのしたにねこがいます。)"",""translation"":""Daraxt tagida mushuk bor.""},{""sentence"":""この机は木です。(このつくえはきです。)"",""translation"":""Bu stol yog'ochdan.""}]","[{""word"":""木曜日"",""hiragana"":""もくようび"",""meaning"":""payshanba""},{""word"":""木の下"",""hiragana"":""きのした"",""meaning"":""daraxt tagi""}]"
