"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"わかります","わかります","tushunmoq, anglamoq","fe'l","N5","Top 100","④","わかって","わかった","わからない","わかります","日本語がわかります。(にほんごがわかります。)","Yapon tilini tushunaman.","理解します","","Bu darsning asosiy qoidasi: 「わかります」 「を」 emas, **「が」** oladi — 「日本語**が**わかります」. 7-darsdagi 「わかりました」 shu fe'ldan; ""tushunyapman"" ma'nosida ham o'tgan zamon ishlatiladi.","[{""kanji"":""分"",""meaning"":""bo'lmoq, tushunmoq"",""kunReading"":""wa"",""onReading"":""bun, fun"",""strokes"":4}]","[{""sentence"":""この漢字がわかりません。(このかんじがわかりません。)"",""translation"":""Bu iyeroglifni tushunmayapman.""},{""sentence"":""意味がよくわかりました。(いみがよくわかりました。)"",""translation"":""Ma'nosini yaxshi tushundim.""}]","[{""word"":""分かりやすい"",""hiragana"":""わかりやすい"",""meaning"":""tushunarli""}]"
"あります","あります","bor bo'lmoq, mavjud bo'lmoq (jonsiz narsalar)","fe'l","N5","Top 100","③","あって","あった","ない","あります","時間がありますか。(じかんがありますか。)","Vaqtingiz bormi?","ございます","ありません","「あります」 — jonsiz narsalar va voqealar uchun; jonli mavjudotlar uchun 「います」 ishlatiladi (10-darsda). Diqqat: inkori qoidasiz — 「あらない」 emas, **「ない」**. Hurmatli shakli 3-darsdagi 「ございます」.","[]","[{""sentence"":""お金がありません。(おかねがありません。)"",""translation"":""Pulim yo'q.""},{""sentence"":""あした約束があります。(あしたやくそくがあります。)"",""translation"":""Ertaga uchrashuvim bor.""}]","[{""word"":""ございます"",""hiragana"":""ございます"",""meaning"":""bor (hurmatli)""}]"
"好き[な]","すき[な]","yoqtirgan, sevimli, yoqadi","na-sifat","N5","Top 500","②","","","","","音楽が好きです。(おんがくがすきです。)","Musiqani yaxshi ko'raman.","大好き","嫌い","Yoqtirilayotgan narsa **「が」** bilan keladi — 「音楽**が**好きです」, 「を」 emas. Bu darsdagi to'rt sifat (好き・嫌い・上手・下手) va 「わかります・あります」 hammasi 「が」 talab qiladi.","[{""kanji"":""好"",""meaning"":""yoqtirmoq, yaxshi ko'rmoq"",""kunReading"":""su, kono"",""onReading"":""kou"",""strokes"":6}]","[{""sentence"":""どんな料理が好きですか。(どんなりょうりがすきですか。)"",""translation"":""Qanaqa taomlarni yoqtirasiz?""},{""sentence"":""好きな歌を歌います。(すきなうたをうたいます。)"",""translation"":""Sevimli qo'shig'imni aytaman.""}]","[{""word"":""大好き"",""hiragana"":""だいすき"",""meaning"":""juda yaxshi ko'raman""}]"
"嫌い[な]","きらい[な]","yoqtirmagan, yomon ko'rgan","na-sifat","N5","Top 1000","⓪","","","","","私は納豆が嫌いです。(わたしはなっとうがきらいです。)","Men nattoni yoqtirmayman.","大嫌い","好き","Muhim tuzoq: 「嫌い」 「い」 bilan tugasa ham **na-sifat** — 8-darsdagi 「きれい」 kabi. 「嫌くない」 emas, 「嫌いじゃない」. Yaponlar to'g'ridan-to'g'ri 「嫌い」 deyishdan qochib, 「あまり好きじゃありません」 deyishni afzal ko'radi.","[{""kanji"":""嫌"",""meaning"":""yoqtirmaslik, nafrat"",""kunReading"":""kira, iya"",""onReading"":""ken"",""strokes"":13}]","[{""sentence"":""勉強が嫌いです。(べんきょうがきらいです。)"",""translation"":""O'qishni yoqtirmayman.""},{""sentence"":""嫌いな食べ物はありません。(きらいなたべものはありません。)"",""translation"":""Yoqtirmaydigan taomim yo'q.""}]","[{""word"":""大嫌い"",""hiragana"":""だいきらい"",""meaning"":""juda yomon ko'raman""}]"
"上手[な]","じょうず[な]","mohir, usta, epli","na-sifat","N5","Top 1000","③","","","","","ミラーさんは日本語が上手です。(みらーさんはにほんごがじょうずです。)","Janob Miller yapon tilida yaxshi gapiradi.","得意","下手","Muhim odob qoidasi: **o'zi haqida 「上手です」 deyilmaydi** — maqtanchoqlik hisoblanadi. O'z mahoratini aytish uchun 「得意（とくい）」 ishlatiladi. Boshqani maqtash uchun esa 「上手」 juda mos.","[{""kanji"":""上"",""meaning"":""yuqori, ust"",""kunReading"":""ue, a"",""onReading"":""jou"",""strokes"":3},{""kanji"":""手"",""meaning"":""qo'l"",""kunReading"":""te"",""onReading"":""shu"",""strokes"":4}]","[{""sentence"":""料理が上手ですね。(りょうりがじょうずですね。)"",""translation"":""Ovqat pishirishga ustasiz-ku.""},{""sentence"":""上手な絵ですね。(じょうずなえですね。)"",""translation"":""Chiroyli chizilgan rasm ekan.""}]","[{""word"":""得意"",""hiragana"":""とくい"",""meaning"":""usta (o'zi haqida)""},{""word"":""上手"",""hiragana"":""うわて"",""meaning"":""yuqori tomon (boshqa o'qilish)""}]"
"下手[な]","へた[な]","epsiz, no'noq, mahoratsiz","na-sifat","N5","Top 2000","②","","","","","私は歌が下手です。(わたしはうたがへたです。)","Men qo'shiq aytishni bilmayman.","苦手","上手","「上手」 ning aksi: **o'zi haqida aytish odobli**, boshqaga nisbatan aytish qo'pol. Boshqaning kamchiligini yumshoq aytish uchun 「あまり上手じゃありません」 deyiladi. 「苦手（にがて）」 — ""qiynalaman, yoqmaydi"" degan yumshoqroq shakl.","[{""kanji"":""下"",""meaning"":""past, ost"",""kunReading"":""shita, sa"",""onReading"":""ka, ge"",""strokes"":3},{""kanji"":""手"",""meaning"":""qo'l"",""kunReading"":""te"",""onReading"":""shu"",""strokes"":4}]","[{""sentence"":""字が下手です。(じがへたです。)"",""translation"":""Xatim chiroyli emas.""},{""sentence"":""下手ですが、好きです。(へたですが、すきです。)"",""translation"":""Uddalay olmayman-u, lekin yoqtiraman.""}]","[{""word"":""苦手"",""hiragana"":""にがて"",""meaning"":""qiynalaman, uddasidan chiqolmayman""}]"
"料理","りょうり","ovqat, taom; ovqat pishirish","ot","N5","Top 500","①","","","","","日本料理が好きです。(にほんりょうりがすきです。)","Yapon taomlarini yaxshi ko'raman.","食べ物","","8-darsdagi 「食べ物」 dan farqi: 「料理」 — tayyorlangan taom yoki pishirish jarayoni; 「食べ物」 — umuman yegulik. Milliy taom nomlarida: 日本料理, 中国料理, イタリア料理.","[{""kanji"":""料"",""meaning"":""material, haq"",""kunReading"":""-"",""onReading"":""ryou"",""strokes"":10},{""kanji"":""理"",""meaning"":""mantiq, tartib"",""kunReading"":""-"",""onReading"":""ri"",""strokes"":11}]","[{""sentence"":""母は料理が上手です。(ははは りょうりが じょうずです。)"",""translation"":""Onam ovqat pishirishga usta.""},{""sentence"":""毎日料理をします。(まいにちりょうりをします。)"",""translation"":""Har kuni ovqat pishiraman.""}]","[{""word"":""料理します"",""hiragana"":""りょうりします"",""meaning"":""ovqat pishirmoq""},{""word"":""手料理"",""hiragana"":""てりょうり"",""meaning"":""uy taomi""}]"
"飲み物","のみもの","ichimlik","ot","N5","Top 2000","③","","","","","冷たい飲み物が好きです。(つめたいのみものがすきです。)","Sovuq ichimliklarni yaxshi ko'raman.","ドリンク","食べ物","6-darsdagi 「飲みます」 dan yasalgan — masu-o'zagiga 「物」 qo'shiladi. 8-darsdagi 「食べ物」 bilan bir qolipda va doim juftlikda o'rganiladi.","[{""kanji"":""飲"",""meaning"":""ichmoq"",""kunReading"":""no"",""onReading"":""in"",""strokes"":12},{""kanji"":""物"",""meaning"":""narsa, buyum"",""kunReading"":""mono"",""onReading"":""butsu"",""strokes"":8}]","[{""sentence"":""飲み物は何がいいですか。(のみものはなにがいいですか。)"",""translation"":""Ichimlikdan nima olasiz?""},{""sentence"":""飲み物を買いました。(のみものをかいました。)"",""translation"":""Ichimlik sotib oldim.""}]","[{""word"":""食べ物"",""hiragana"":""たべもの"",""meaning"":""yegulik""}]"
"スポーツ","スポーツ","sport","ot","N5","Top 1000","②","","","","","スポーツが好きです。(すぽーつがすきです。)","Sportni yaxshi ko'raman.","運動","","Yaponcha muqobili 「運動（うんどう）」 — u ko'proq ""jismoniy mashq"" ma'nosida. Musobaqa va o'yin turlari uchun 「スポーツ」 ishlatiladi.","[]","[{""sentence"":""どんなスポーツをしますか。(どんなすぽーつをしますか。)"",""translation"":""Qanaqa sport bilan shug'ullanasiz?""},{""sentence"":""スポーツは体にいいです。(すぽーつはからだにいいです。)"",""translation"":""Sport sog'liq uchun foydali.""}]","[{""word"":""スポーツをします"",""hiragana"":""スポーツをします"",""meaning"":""sport bilan shug'ullanmoq""}]"
"野球","やきゅう","beysbol","ot","N5","Top 2000","⓪","","","","","野球が好きです。(やきゅうがすきです。)","Beysbolni yaxshi ko'raman.","ベースボール","","「野（dala）」＋「球（to'p）」. Yaponiyaning eng mashhur sporti; 5-darsdagi 「甲子園」 aynan maktab beysbol chempionati o'tadigan stadion.","[{""kanji"":""野"",""meaning"":""dala, yovvoyi"",""kunReading"":""no"",""onReading"":""ya"",""strokes"":11},{""kanji"":""球"",""meaning"":""to'p, shar"",""kunReading"":""tama"",""onReading"":""kyuu"",""strokes"":11}]","[{""sentence"":""日曜日に野球をします。(にちようびにやきゅうをします。)"",""translation"":""Yakshanba kuni beysbol o'ynayman.""},{""sentence"":""野球の試合を見ました。(やきゅうのしあいをみました。)"",""translation"":""Beysbol o'yinini ko'rdim.""}]","[{""word"":""野球場"",""hiragana"":""やきゅうじょう"",""meaning"":""beysbol stadioni""}]"
