"japanese_word","hiragana","meaning","part_of_speech","jlpt_level","frequency","pitch_accent","te_form","ta_form","nai_form","masu_form","example_sentence","example_translation","synonyms","antonyms","nuance","kanji_info","additional_examples","compounds"
"私","わたし","men","olmosh","N5","Top 100","⓪","","","","","私はミラーです。(わたしはみらーです。)","Men Millerman.","僕, わたくし, 俺","あなた","「わたし」 — jinsdan qat'i nazar ishlatiladigan neytral shakl. 「僕」 va 「俺」 faqat erkaklar nutqida (「俺」 — juda erkin), 「わたくし」 esa rasmiy vaziyatlarda qo'llanadi. Yaponchada ega kontekstdan tushunilsa, 「わたし」 ko'pincha tushirib qoldiriladi.","[{""kanji"":""私"",""meaning"":""men, shaxsiy"",""kunReading"":""watashi, watakushi"",""onReading"":""shi"",""strokes"":7}]","[{""sentence"":""私は学生です。(わたしはがくせいです。)"",""translation"":""Men talabaman.""},{""sentence"":""私はウズベキスタンから来ました。(わたしはうずべきすたんからきました。)"",""translation"":""Men O'zbekistondan kelganman.""}]","[{""word"":""私立"",""hiragana"":""しりつ"",""meaning"":""xususiy (maktab, universitet)""},{""word"":""私生活"",""hiragana"":""しせいかつ"",""meaning"":""shaxsiy hayot""}]"
"私たち","わたしたち","biz","olmosh","N5","Top 500","④","","","","","私たちは日本語を勉強しています。(わたしたちはにほんごをべんきょうしています。)","Biz yapon tilini o'rganyapmiz.","我々, 僕たち","あなたたち","「〜たち」 qo'shimchasi shaxsni bildiruvchi so'zlarga qo'shilib ko'plik yasaydi. 「我々（われわれ）」 rasmiy nutqda va nutqlarda ishlatiladi.","[{""kanji"":""私"",""meaning"":""men, shaxsiy"",""kunReading"":""watashi"",""onReading"":""shi"",""strokes"":7}]","[{""sentence"":""私たちは会社員です。(わたしたちはかいしゃいんです。)"",""translation"":""Biz firma xodimimiz.""},{""sentence"":""私たちも行きます。(わたしたちもいきます。)"",""translation"":""Biz ham boramiz.""}]","[{""word"":""私ども"",""hiragana"":""わたくしども"",""meaning"":""biz (juda kamtarona, ish muhitida)""}]"
"あなた","あなた","siz, sen","olmosh","N5","Top 500","②","","","","","あなたは先生ですか。(あなたはせんせいですか。)","Siz o'qituvchimisiz?","君, そちら","私","Yaponchada suhbatdoshga 「あなた」 emas, ismi bilan (masalan 「ミラーさん」) murojaat qilish odatiy. 「あなた」ni ko'p ishlatish sovuq yoki qo'pol tuyulishi mumkin. Er-xotin nutqida esa ""azizim"" ma'nosida keladi.","[]","[{""sentence"":""あなたのお名前は何ですか。(あなたのおなまえはなんですか。)"",""translation"":""Sizning ismingiz nima?""},{""sentence"":""あなたも日本人ですか。(あなたもにほんじんですか。)"",""translation"":""Siz ham yaponmisiz?""}]","[]"
"あの人","あのひと","u kishi, u (odam)","olmosh","N5","Top 1000","②","","","","","あの人は誰ですか。(あのひとはだれですか。)","U kishi kim?","あの方, 彼, 彼女","この人","「あの」 — so'zlovchidan ham, tinglovchidan ham uzoqdagi shaxs yoki narsani ko'rsatadi. Hurmatliroq shakli — 「あの方（かた）」.","[{""kanji"":""人"",""meaning"":""odam, kishi"",""kunReading"":""hito"",""onReading"":""jin, nin"",""strokes"":2}]","[{""sentence"":""あの人はIMCの社員です。(あのひとはあいえむしーのしゃいんです。)"",""translation"":""U kishi IMC firmasining xodimi.""},{""sentence"":""あの人もアメリカ人です。(あのひともあめりかじんです。)"",""translation"":""U kishi ham amerikalik.""}]","[{""word"":""この人"",""hiragana"":""このひと"",""meaning"":""bu kishi""},{""word"":""その人"",""hiragana"":""そのひと"",""meaning"":""o'sha kishi""}]"
"あの方","あのかた","u kishi (hurmat shakli)","olmosh","N5","Top 2000","②","","","","","あの方はどなたですか。(あのかたはどなたですか。)","U kishi kim bo'ladilar?","あの人","この方","「あの方」 — 「あの人」ning hurmat shakli. Mijoz, rahbar yoki yoshi ulug' kishi haqida gapirganda ishlatiladi. Savolida ham 「誰」 emas, 「どなた」 ishlatilgani ma'qul.","[{""kanji"":""方"",""meaning"":""tomon, usul; kishi (hurmat)"",""kunReading"":""kata"",""onReading"":""hou"",""strokes"":4}]","[{""sentence"":""あの方は山田先生です。(あのかたはやまだせんせいです。)"",""translation"":""U kishi Yamada ustoz.""},{""sentence"":""あの方は社長です。(あのかたはしゃちょうです。)"",""translation"":""U kishi kompaniya rahbari.""}]","[{""word"":""この方"",""hiragana"":""このかた"",""meaning"":""bu kishi (hurmat)""}]"
"皆さん","みなさん","hamma, sizlar, xonimlar va janoblar","ot","N5","Top 1000","②","","","","","皆さん、おはようございます。(みなさん、おはようございます。)","Hammaga xayrli tong!","皆様, みんな","","「みんな」 — erkin nutqda, 「皆さん」 — muloyim murojaat, 「皆様（みなさま）」 — eng hurmatli shakl (rasmiy nutq va xatlarda).","[{""kanji"":""皆"",""meaning"":""hamma, barcha"",""kunReading"":""mina"",""onReading"":""kai"",""strokes"":9}]","[{""sentence"":""皆さんは学生ですか。(みなさんはがくせいですか。)"",""translation"":""Sizlar talabamisizlar?""},{""sentence"":""ご家族の皆さんによろしく。(ごかぞくのみなさんによろしく。)"",""translation"":""Oilangizdagi hammaga salom ayting.""}]","[{""word"":""皆様"",""hiragana"":""みなさま"",""meaning"":""hurmatli hozir bo'lganlar (juda hurmatli)""}]"
"～さん","～さん","janob, xonim (ism, familiya yoki kasbga qo'shiladigan hurmat qo'shimchasi)","qo'shimcha","N5","Top 100","","","","","","ミラーさんは会社員です。(みらーさんはかいしゃいんです。)","Janob Miller — firma xodimi.","～様, ～氏","","O'z ismiga hech qachon qo'shilmaydi. 「～様（さま）」 — ancha hurmatli (mijozlar, xatlar), 「～氏（し）」 — matbuot uslubi. Ustozga 「先生」 qo'shiladi, 「さん」 emas.","[]","[{""sentence"":""田中さん、こちらへどうぞ。(たなかさん、こちらへどうぞ。)"",""translation"":""Tanaka-san, marhamat, bu yoqqa.""},{""sentence"":""お医者さんに聞きました。(おいしゃさんにききました。)"",""translation"":""Shifokordan so'radim.""}]","[{""word"":""～様"",""hiragana"":""～さま"",""meaning"":""janob/xonim (juda hurmatli)""}]"
"～ちゃん","～ちゃん","erkalash qo'shimchasi (odatda bolalarga va qiz bolalarga nisbatan)","qo'shimcha","N5","Top 1000","","","","","","ゆみちゃんは五歳です。(ゆみちゃんはごさいです。)","Yumi-chan besh yoshda.","～くん","","「～さん」ning erkalash shakli. Yosh bolalar, yaqin do'stlar va oila a'zolariga nisbatan ishlatiladi; rasmiy muhitda yoki katta yoshli notanish kishiga qo'llanmaydi.","[]","[{""sentence"":""おばあちゃんは元気です。(おばあちゃんはげんきです。)"",""translation"":""Buvim sog'-salomat.""},{""sentence"":""赤ちゃんが寝ています。(あかちゃんがねています。)"",""translation"":""Chaqaloq uxlayapti.""}]","[{""word"":""赤ちゃん"",""hiragana"":""あかちゃん"",""meaning"":""chaqaloq""},{""word"":""お姉ちゃん"",""hiragana"":""おねえちゃん"",""meaning"":""opa (erkalab)""}]"
"～君","～くん","erkalash/yaqinlik qo'shimchasi (odatda o'g'il bolalarga nisbatan)","qo'shimcha","N5","Top 1000","","","","","","たろう君は小学生です。(たろうくんはしょうがくせいです。)","Taro-kun boshlang'ich sinf o'quvchisi.","～ちゃん","","Asosan o'g'il bolalarga; ish joyida esa rahbar o'zidan kichik xodimga (jinsidan qat'i nazar) 「～君」 deyishi mumkin. O'zidan kattaga ishlatilmaydi.","[{""kanji"":""君"",""meaning"":""sen; hukmdor"",""kunReading"":""kimi"",""onReading"":""kun"",""strokes"":7}]","[{""sentence"":""山田君、ちょっと来てください。(やまだくん、ちょっときてください。)"",""translation"":""Yamada-kun, bir kelib keting.""},{""sentence"":""田中君は私の友達です。(たなかくんはわたしのともだちです。)"",""translation"":""Tanaka-kun mening do'stim.""}]","[]"
"～人","～じん","millat/fuqarolikni bildiruvchi qo'shimcha (masalan: アメリカ人 — amerikalik)","qo'shimcha","N5","Top 500","","","","","","私はウズベキスタン人です。(わたしはうずべきすたんじんです。)","Men o'zbekistonlikman.","","","Davlat nomiga qo'shiladi: アメリカ＋人＝アメリカ人. Diqqat: 「日本人」 — にほんじん, lekin 「一人」 — ひとり, 「二人」 — ふたり (bu yerda 人 boshqacha o'qiladi).","[{""kanji"":""人"",""meaning"":""odam, kishi"",""kunReading"":""hito"",""onReading"":""jin, nin"",""strokes"":2}]","[{""sentence"":""ミラーさんはアメリカ人です。(みらーさんはあめりかじんです。)"",""translation"":""Janob Miller — amerikalik.""},{""sentence"":""あの人は日本人じゃありません。(あのひとはにほんじんじゃありません。)"",""translation"":""U kishi yapon emas.""}]","[{""word"":""外国人"",""hiragana"":""がいこくじん"",""meaning"":""chet ellik""},{""word"":""日本人"",""hiragana"":""にほんじん"",""meaning"":""yapon (millat)""}]"
